model_id,status,independent_label_count,oos_count,oos_accuracy,p_value,q_value,mean_market_brier
proxy_state_directional_accuracy,research_candidate_fdr_passed,318,95,0.6,0.0321064033135655,0.0321064033135655,
market_yes_ask_probability_baseline,diagnostic_baseline_only,318,96,,,,0.122208875
